month,channel_id,channel_name,orders,gross_sales,discounts,refunds,net_sales,net_product_cost,return_processing,fulfillment,units,returned_units,contribution_before_marketing,marketing_spend,contribution_after_marketing
2025-07,DIRECT,Direct,105,1430500,65670,171895,1192935,689200,8050,90024,247,23,405661,0,405661
2025-07,PARTNER,Partner,42,458300,22685,47490,388125,222600,3150,48649,89,9,113726,65000,48726
2025-07,SEARCH,Paid search,134,1608100,84055,164880,1359165,740700,12250,114319,320,35,491896,250000,241896
2025-07,SOCIAL,Paid social,139,1698000,339965,365805,992230,703800,27650,122891,323,79,137889,380000,-242111
2025-08,DIRECT,Direct,121,1471000,68170,136645,1266185,691700,10150,105498,294,29,458837,0,458837
2025-08,PARTNER,Partner,48,542800,25935,44955,471910,255800,2800,54386,115,8,158924,65000,93924
2025-08,SEARCH,Paid search,125,1338200,66100,105970,1166130,632900,9450,107042,271,27,416738,250000,166738
2025-08,SOCIAL,Paid social,121,1447700,287605,274110,885985,628700,24150,104008,272,69,129127,380000,-250873
2025-09,DIRECT,Direct,88,815600,37660,67985,709955,381400,6300,75383,180,18,246872,0,246872
2025-09,PARTNER,Partner,54,717200,30780,76510,609910,334100,5250,61438,138,15,209122,65000,144122
2025-09,SEARCH,Paid search,116,1402600,74050,148010,1180540,654900,10150,103942,289,29,411548,250000,161548
2025-09,SOCIAL,Paid social,136,1744200,354630,455330,934240,699000,36050,118515,314,103,80675,380000,-299325
2025-10,DIRECT,Direct,99,1205700,60580,143410,1001710,550000,10500,86829,220,30,354381,0,354381
2025-10,PARTNER,Partner,53,677200,26010,58080,593110,340300,4200,60508,118,12,188102,65000,123102
2025-10,SEARCH,Paid search,114,1326900,66875,146500,1113525,602100,9450,102066,268,27,399909,250000,149909
2025-10,SOCIAL,Paid social,127,1616600,322545,352205,941850,671600,30100,112385,298,86,127765,380000,-252235
2025-11,DIRECT,Direct,101,1209900,64960,83740,1061200,585400,5950,89258,237,17,380592,0,380592
2025-11,PARTNER,Partner,52,537400,27490,74815,435095,242300,4900,58016,103,14,129879,65000,64879
2025-11,SEARCH,Paid search,119,1532900,71465,144380,1317055,718100,7700,106330,277,22,484925,250000,234925
2025-11,SOCIAL,Paid social,124,1369200,267200,270340,831660,566300,20650,107819,274,59,136891,380000,-243109
2025-12,DIRECT,Direct,97,1087900,57575,123865,906460,494500,8050,86551,217,23,317359,0,317359
2025-12,PARTNER,Partner,42,504700,22335,30740,451625,252800,2450,47528,95,7,148847,65000,83847
2025-12,SEARCH,Paid search,106,1212300,60645,187730,963925,552300,12600,89695,240,36,309330,250000,59330
2025-12,SOCIAL,Paid social,137,1685900,329105,329430,1027365,710300,26250,118404,311,75,172411,380000,-207589
