source_line,reason_codes,record_id,date,month,site,shift,orders_due,on_time_orders,late_orders,units_shipped,rework_orders,planned_hours,regular_hours,overtime_hours,complex_orders,standard_hours,downtime_minutes,capacity_late,rework_late,stock_late,carrier_late,other_late
17,SUBSET_BOUNDS,20250806-S-PM,2025-08-06,2025-08,South,PM,234,216,18,826,9999,45.0,39.5,0.7,49,40.0,10,5,6,3,2,2
53,DUPLICATE_CONFLICT,20250910-N-AM,2025-09-10,2025-09,North,AM,252,243,9,964,4,52.5,49.5,3.0,72,45.0,0,3,1,1,2,2
106,NONPOSITIVE_HOURS,20250807-S-PM,2025-08-07,2025-08,South,PM,229,221,8,731,7,45.0,0,2.9,52,39.55,0,2,2,3,1,0
129,NONINTEGER_COUNT,20250808-N-PM,2025-08-08,2025-08,North,PM,12.5,213,4,526,1,52.5,50.7,1.9,21,34.65,0,0,1,2,1,0
142,DUPLICATE_CONFLICT,20250909-S-AM,2025-09-09,2025-09,South,AM,226,211,15,856,6,45.0,41.9,1.0,86,42.5,0,5,5,4,1,0
147,MISSING_VALUE,20250807-N-AM,2025-08-07,2025-08,North,AM,,201,3,566,1,52.5,50.7,0.8,17,32.3,0,0,0,2,1,0
157,SUBSET_BOUNDS,20250808-S-PM,2025-08-08,2025-08,South,PM,207,197,10,688,9999,45.0,40.3,3.9,61,37.15,0,3,2,2,1,2
192,INVALID_DATE,20250811-N-PM,2025-02-30,2025-08,North,PM,250,234,16,958,4,52.5,48.0,1.9,70,44.5,35,5,2,5,0,4
193,MISSING_VALUE,20250811-N-AM,2025-08-11,2025-08,North,AM,,245,8,808,3,52.5,50.7,2.0,74,45.35,0,1,1,2,1,3
198,SUBSET_BOUNDS,20250812-S-PM,2025-08-12,2025-08,South,PM,181,167,14,564,9999,45.0,40.8,0.6,66,33.75,60,1,6,5,1,1
210,DUPLICATE_CONFLICT,20250909-N-PM,2025-09-09,2025-09,North,PM,231,230,1,646,4,52.5,49.8,0,32,37.85,10,0,0,1,0,0
267,NEGATIVE_VALUE;ORDER_RECONCILIATION,20250805-S-AM,2025-08-05,2025-08,South,AM,186,-1,7,582,4,45.0,40.8,1.9,55,33.4,0,2,1,3,1,0
280,INVALID_NUMBER,20250808-S-AM,2025-08-08,2025-08,South,AM,204,197,7,"12,34",6,45.0,42.3,1.1,68,37.4,20,0,4,0,0,3
290,DUPLICATE_CONFLICT,20250909-N-AM,2025-09-09,2025-09,North,AM,195,191,4,444,4,52.5,48.6,0.9,17,30.95,10,1,1,2,0,0
295,NONINTEGER_COUNT,20250812-N-PM,2025-08-12,2025-08,North,PM,12.5,208,2,574,4,52.5,49.4,1.3,17,33.2,10,0,1,1,0,0
300,UNKNOWN_CATEGORY,20250812-N-AM,2025-08-12,2025-08,East,AM,232,225,7,668,2,52.5,46.9,2.1,60,40.8,10,2,2,1,1,1
311,DUPLICATE_CONFLICT,20250909-N-PM,2025-09-09,2025-09,North,PM,231,230,1,653,4,52.5,49.8,0,32,37.85,10,0,0,1,0,0
314,INVALID_NUMBER,20250806-S-AM,2025-08-06,2025-08,South,AM,231,208,23,"12,34",7,45.0,43.7,0,81,42.75,60,8,7,6,2,0
316,MISSING_VALUE,20250805-N-AM,2025-08-05,2025-08,North,AM,,198,4,702,3,52.5,47.9,3.2,32,33.5,0,0,0,3,0,1
321,DUPLICATE_CONFLICT,20250909-S-PM,2025-09-09,2025-09,South,PM,223,203,20,786,9,45.0,34.4,3.3,55,38.95,0,12,5,2,0,1
324,DUPLICATE_CONFLICT,20250910-N-AM,2025-09-10,2025-09,North,AM,252,243,9,957,4,52.5,49.5,3.0,72,45.0,0,3,1,1,2,2
330,INVALID_DATE,20250805-N-PM,2025-02-30,2025-08,North,PM,242,237,5,707,7,52.5,46.8,0.9,50,41.3,10,0,2,0,1,2
349,NONINTEGER_COUNT,20250806-N-PM,2025-08-06,2025-08,North,PM,12.5,185,8,571,5,52.5,48.0,1.8,38,32.75,0,2,2,4,0,0
397,NEGATIVE_VALUE;ORDER_RECONCILIATION,20250811-S-AM,2025-08-11,2025-08,South,AM,268,-1,47,1042,8,45.0,40.6,2.3,109,51.1,35,30,6,6,2,3
399,DUPLICATE_CONFLICT,20250910-N-PM,2025-09-10,2025-09,North,PM,237,227,10,742,6,52.5,51.1,1.8,19,37.45,35,1,1,3,3,2
435,INVALID_DATE,20250807-N-PM,2025-02-30,2025-08,North,PM,274,258,16,731,5,52.5,48.8,2.7,48,45.9,10,3,4,6,0,3
463,NONPOSITIVE_HOURS,20250805-S-PM,2025-08-05,2025-08,South,PM,223,200,23,806,10,45.0,0,0.9,109,44.35,20,12,4,3,0,4
472,INVALID_NUMBER,20250812-S-AM,2025-08-12,2025-08,South,AM,242,209,33,"12,34",6,45.0,39.5,1.8,84,44.7,10,18,6,3,3,3
486,DUPLICATE_CONFLICT,20250909-S-PM,2025-09-09,2025-09,South,PM,223,203,20,793,9,45.0,34.4,3.3,55,38.95,0,12,5,2,0,1
518,NONPOSITIVE_HOURS,20250811-S-PM,2025-08-11,2025-08,South,PM,185,179,6,716,3,45.0,0,1.5,61,33.85,60,1,0,2,1,2
534,UNKNOWN_CATEGORY,20250806-N-AM,2025-08-06,2025-08,East,AM,227,224,3,782,6,52.5,48.1,1.0,76,41.65,0,0,2,0,0,1
541,DUPLICATE_CONFLICT,20250909-S-AM,2025-09-09,2025-09,South,AM,226,211,15,849,6,45.0,41.9,1.0,86,42.5,0,5,5,4,1,0
544,DUPLICATE_CONFLICT,20250909-N-AM,2025-09-09,2025-09,North,AM,195,191,4,451,4,52.5,48.6,0.9,17,30.95,10,1,1,2,0,0
545,DUPLICATE_CONFLICT,20250910-N-PM,2025-09-10,2025-09,North,PM,237,227,10,735,6,52.5,51.1,1.8,19,37.45,35,1,1,3,3,2
547,UNKNOWN_CATEGORY,20250808-N-AM,2025-08-08,2025-08,East,AM,216,205,11,648,9,52.5,48.3,1.0,67,39.1,60,1,3,2,2,3
548,NEGATIVE_VALUE;ORDER_RECONCILIATION,20250807-S-AM,2025-08-07,2025-08,South,AM,191,-1,7,503,7,45.0,41.7,0.2,33,31.95,20,0,3,2,2,0
