source_line,record_id,disposition,reason_codes,duplicate_of_line,raw_row_sha256
2,20251104-N-PM,ACCEPTED,,,eb4bc4abac936d20fcd1cbfe3627b270d2717aed6145716daaa3f5dab12419f1
3,20251124-N-AM,ACCEPTED,,,2341b703f51a3ee0009ca8fe5b8b24c302bf9decfecf6999bc171c9acec51cb5
4,20251106-S-PM,ACCEPTED,,,73f96169863f81abebb4e5185ef58879c2e4ad3a3a428f8c8d4d5742da12fe9d
5,20251016-S-PM,ACCEPTED,,,a7218c1978b0e124f1469401953aba93170c7e8324c5e38df54f31ac886c3aca
6,20251224-S-PM,ACCEPTED,,,73aeeba419dee51423c8783cd89fc58bf325e57c87237261ce368603694833b9
7,20250819-N-AM,ACCEPTED,,,9967569509a370fb732b1467daecf41529e23fe51095033f505ba351bd47bc7a
8,20251209-N-PM,ACCEPTED,,,9d05a74934426aba3f522ac1daee7c18683902d7b0a5210c1f17f89232248ffa
9,20250929-S-PM,ACCEPTED,,,42a18c55e99fca1f55dfed9b9705c726b25db8ce18052b12db84e97847d758a5
10,20250930-N-AM,ACCEPTED,,,c9a871e8017eb9e5aa72dcc0c289df3822a74c08c0a78f9176622536bd42ad09
11,20251031-S-AM,ACCEPTED,,,4310cd34853335eaa3268d8cccc58f20721a4e2b0f39c26f145ed5316711ee7f
12,20251223-N-PM,ACCEPTED,,,25c58a95f1c6b2fcf966850b4ce8ee9cd4256984715947c1e992d8b933a3cfdc
13,20250814-N-PM,ACCEPTED,,,c95da7e7d5ec842b39f72ac5173d0d9e9b9c4946250a86e9c6cdefec8de0ea5e
14,20251007-N-AM,ACCEPTED,,,6a4e105b6092b6b5b6dadd237197bcdcb18fd0d2c6aa09bfb6563af356cc32d8
15,20251031-S-PM,ACCEPTED,,,3ef9dc5f25ada152cfa9a97717aad46c9df5e54243420518afbe5c7631c4e394
16,20251021-S-AM,ACCEPTED,,,362ec789713d5f1a3ec57c93a2b1309d2c4ceeeaae6d0cc45da28986efb9c7c9
17,20250806-S-PM,QUARANTINED,SUBSET_BOUNDS,,057ef3ead54291e3b57634e38608338c5fe9bafd2a250829004219af05bec607
18,20250902-N-AM,ACCEPTED,,,f1ed89c3173ee0954758f30d82a908d0d955780fb2ca9a4b2f95a53c2d5ceedb
19,20251216-S-PM,ACCEPTED,,,fa09401315e4086875b415e118d65ce1946af4295a276b2a1d95509e054ea7a9
20,20251015-N-AM,ACCEPTED,,,3495a4ecbdc63788c288177b0e0fbb52d334d6a439ece31f803328b52f377ea3
21,20250702-S-PM,ACCEPTED,,,1cd7619784da2411d6d781789131b4a6f69e16617e6da66ecd992c87a5c61530
22,20251020-N-PM,ACCEPTED,,,0149ed9a29e1cd9a401f51fa63a9d3e917e3e4eb40a6e0d8214b4917b1943622
23,20250703-N-PM,ACCEPTED,,,83391856948594efc6b2f8ec728e5ef4d4726564645eeb331f1feb139513fd12
24,20250905-S-AM,ACCEPTED,,,e0bfcd7a1ad3fa842868007403450435c8622a515bc49e97dcc73a36f18a2be4
25,20251010-S-AM,ACCEPTED,,,f72c7fcbdbcf26e7f86893d06eec58ef0e5e72d07a8593d7c529efa49876f988
26,20250827-N-PM,ACCEPTED,,,fc60df4ae2f9baac8912338b9a8b733cba265fd7f55d2e6c94ef65514ac0f8d6
27,20251013-S-PM,ACCEPTED,,,1a00d5a69fdb647187ce9e0eececd5b541c6f0e35400316d228e1a2f04b30158
28,20250923-S-PM,ACCEPTED,,,32791556fb7298cc10639b60a68b85a21d72d1ddeaaceb14002384cdb2ddf681
29,20251118-N-AM,ACCEPTED,,,b0976523b4e47bedf13bac1100cc5c87c124b1589da71c5d5f21ad77ca5ad7dc
30,20251209-S-PM,ACCEPTED,,,6cc8e5ef69070b497ebd79d09999d05cc2f5ee61f57ad6f82ba0bb7f449c02e8
31,20251105-S-PM,ACCEPTED,,,8e2bc514df48051a39adccd8a579399100316d473ff65c88660cc0afeb0348d4
32,20250828-N-PM,ACCEPTED,,,a00507c6c3a1d759deb00e440ab1177cc5afdd3f62ce4ce95cebe988a268928b
33,20250924-N-PM,ACCEPTED,,,517e6146390b66ae55b0a9c04d0a87532fcae06d13023de6859e53c522da57c9
34,20251112-S-AM,ACCEPTED,,,8543c8bb2250a91fa8dc9f9e0507d070f9d7909c9efc2298819a9e7cf6ed1d71
