source_line,record_id,field,before,after,final_disposition
15,20251031-S-PM,site, south ,South,ACCEPTED
21,20250702-S-PM,regular_hours, 43.0 ,43.0,ACCEPTED
23,20250703-N-PM,date,07/03/2025,2025-07-03,ACCEPTED
40,20250711-N-PM,date,07/11/2025,2025-07-11,ACCEPTED
44,20250710-S-AM,record_id, 20250710-S-AM ,20250710-S-AM,ACCEPTED
44,20250710-S-AM,orders_due,212.0,212,ACCEPTED
49,20250714-N-PM,date,07/14/2025,2025-07-14,ACCEPTED
76,20250701-S-AM,record_id, 20250701-S-AM ,20250701-S-AM,ACCEPTED
76,20250701-S-AM,orders_due,211.0,211,ACCEPTED
83,20250710-S-PM,regular_hours, 40.0 ,40.0,ACCEPTED
92,20250702-S-AM,record_id, 20250702-S-AM ,20250702-S-AM,ACCEPTED
92,20250702-S-AM,orders_due,195.0,195,ACCEPTED
113,20251031-N-AM,site, north ,North,ACCEPTED
120,20250703-N-AM,site, north ,North,ACCEPTED
120,20250703-N-AM,shift, am ,AM,ACCEPTED
125,20250707-S-AM,record_id, 20250707-S-AM ,20250707-S-AM,ACCEPTED
125,20250707-S-AM,orders_due,244.0,244,ACCEPTED
130,20250708-S-AM,record_id, 20250708-S-AM ,20250708-S-AM,ACCEPTED
130,20250708-S-AM,orders_due,197.0,197,ACCEPTED
138,20250707-N-AM,site, north ,North,ACCEPTED
138,20250707-N-AM,shift, am ,AM,ACCEPTED
140,20251030-S-PM,site, south ,South,DUPLICATE_NORMALIZED
143,20250704-N-PM,date,07/04/2025,2025-07-04,ACCEPTED
144,20250711-N-AM,site, north ,North,ACCEPTED
144,20250711-N-AM,shift, am ,AM,ACCEPTED
167,20250707-S-PM,regular_hours, 42.8 ,42.8,ACCEPTED
171,20250704-S-AM,record_id, 20250704-S-AM ,20250704-S-AM,ACCEPTED
171,20250704-S-AM,orders_due,227.0,227,ACCEPTED
174,20250711-S-PM,regular_hours, 42.1 ,42.1,ACCEPTED
196,20250710-N-PM,date,07/10/2025,2025-07-10,ACCEPTED
206,20250702-N-AM,site, north ,North,ACCEPTED
206,20250702-N-AM,shift, am ,AM,ACCEPTED
208,20250714-S-PM,regular_hours, 40.3 ,40.3,ACCEPTED
225,20251031-S-AM,site, south ,South,DUPLICATE_NORMALIZED
227,20250714-N-AM,site, north ,North,ACCEPTED
227,20250714-N-AM,shift, am ,AM,ACCEPTED
239,20250709-S-AM,record_id, 20250709-S-AM ,20250709-S-AM,ACCEPTED
239,20250709-S-AM,orders_due,181.0,181,ACCEPTED
240,20250704-N-AM,site, north ,North,ACCEPTED
240,20250704-N-AM,shift, am ,AM,ACCEPTED
244,20250711-S-AM,record_id, 20250711-S-AM ,20250711-S-AM,ACCEPTED
244,20250711-S-AM,orders_due,180.0,180,ACCEPTED
254,20250708-S-PM,regular_hours, 42.9 ,42.9,ACCEPTED
255,20250702-N-PM,date,07/02/2025,2025-07-02,ACCEPTED
260,20250703-S-PM,regular_hours, 43.5 ,43.5,ACCEPTED
313,20250701-N-AM,site, north ,North,ACCEPTED
313,20250701-N-AM,shift, am ,AM,ACCEPTED
337,20250703-S-AM,record_id, 20250703-S-AM ,20250703-S-AM,ACCEPTED
337,20250703-S-AM,orders_due,206.0,206,ACCEPTED
353,20251030-S-AM,site, south ,South,DUPLICATE_NORMALIZED
358,20250708-N-AM,site, north ,North,ACCEPTED
358,20250708-N-AM,shift, am ,AM,ACCEPTED
431,20250709-S-PM,regular_hours, 42.6 ,42.6,ACCEPTED
437,20251103-N-AM,site, north ,North,DUPLICATE_NORMALIZED
459,20250701-S-PM,regular_hours, 43.2 ,43.2,ACCEPTED
473,20250710-N-AM,site, north ,North,ACCEPTED
473,20250710-N-AM,shift, am ,AM,ACCEPTED
477,20251103-N-PM,site, north ,North,DUPLICATE_NORMALIZED
490,20250714-S-AM,record_id, 20250714-S-AM ,20250714-S-AM,ACCEPTED
490,20250714-S-AM,orders_due,244.0,244,ACCEPTED
503,20251031-N-PM,site, north ,North,DUPLICATE_NORMALIZED
510,20250704-S-PM,regular_hours, 42.9 ,42.9,ACCEPTED
521,20250707-N-PM,date,07/07/2025,2025-07-07,ACCEPTED
529,20250708-N-PM,date,07/08/2025,2025-07-08,ACCEPTED
543,20250709-N-AM,site, north ,North,ACCEPTED
543,20250709-N-AM,shift, am ,AM,ACCEPTED
546,20250709-N-PM,date,07/09/2025,2025-07-09,ACCEPTED
554,20250701-N-PM,date,07/01/2025,2025-07-01,ACCEPTED
