week_start,week_index,product,demand_units
2023-01-02,0,Trail packs,29
2023-01-09,1,Trail packs,40
2023-01-16,2,Trail packs,32
2023-01-23,3,Trail packs,40
2023-01-30,4,Trail packs,45
2023-02-06,5,Trail packs,37
2023-02-13,6,Trail packs,47
2023-02-20,7,Trail packs,50
2023-02-27,8,Trail packs,48
2023-03-06,9,Trail packs,55
2023-03-13,10,Trail packs,55
2023-03-20,11,Trail packs,36
2023-03-27,12,Trail packs,46
2023-04-03,13,Trail packs,55
2023-04-10,14,Trail packs,45
2023-04-17,15,Trail packs,56
2023-04-24,16,Trail packs,45
2023-05-01,17,Trail packs,48
2023-05-08,18,Trail packs,45
2023-05-15,19,Trail packs,44
2023-05-22,20,Trail packs,51
2023-05-29,21,Trail packs,43
2023-06-05,22,Trail packs,53
2023-06-12,23,Trail packs,51
2023-06-19,24,Trail packs,45
2023-06-26,25,Trail packs,48
2023-07-03,26,Trail packs,38
2023-07-10,27,Trail packs,41
2023-07-17,28,Trail packs,35
2023-07-24,29,Trail packs,34
2023-07-31,30,Trail packs,38
2023-08-07,31,Trail packs,27
2023-08-14,32,Trail packs,32
2023-08-21,33,Trail packs,36
2023-08-28,34,Trail packs,31
2023-09-04,35,Trail packs,30
2023-09-11,36,Trail packs,29
2023-09-18,37,Trail packs,27
2023-09-25,38,Trail packs,27
2023-10-02,39,Trail packs,25
2023-10-09,40,Trail packs,25
2023-10-16,41,Trail packs,27
2023-10-23,42,Trail packs,29
2023-10-30,43,Trail packs,33
2023-11-06,44,Trail packs,27
2023-11-13,45,Trail packs,26
2023-11-20,46,Trail packs,37
2023-11-27,47,Trail packs,42
2023-12-04,48,Trail packs,41
2023-12-11,49,Trail packs,37
2023-12-18,50,Trail packs,32
2023-12-25,51,Trail packs,30
2024-01-01,52,Trail packs,35
2024-01-08,53,Trail packs,39
2024-01-15,54,Trail packs,40
2024-01-22,55,Trail packs,52
2024-01-29,56,Trail packs,30
2024-02-05,57,Trail packs,52
2024-02-12,58,Trail packs,57
2024-02-19,59,Trail packs,51
2024-02-26,60,Trail packs,57
2024-03-04,61,Trail packs,42
2024-03-11,62,Trail packs,55
2024-03-18,63,Trail packs,50
2024-03-25,64,Trail packs,61
2024-04-01,65,Trail packs,59
2024-04-08,66,Trail packs,54
2024-04-15,67,Trail packs,63
2024-04-22,68,Trail packs,46
2024-04-29,69,Trail packs,66
2024-05-06,70,Trail packs,62
2024-05-13,71,Trail packs,53
2024-05-20,72,Trail packs,45
2024-05-27,73,Trail packs,71
2024-06-03,74,Trail packs,47
2024-06-10,75,Trail packs,48
2024-06-17,76,Trail packs,48
2024-06-24,77,Trail packs,46
2024-07-01,78,Trail packs,47
2024-07-08,79,Trail packs,38
2024-07-15,80,Trail packs,46
2024-07-22,81,Trail packs,39
2024-07-29,82,Trail packs,40
2024-08-05,83,Trail packs,37
2024-08-12,84,Trail packs,37
2024-08-19,85,Trail packs,32
2024-08-26,86,Trail packs,26
2024-09-02,87,Trail packs,29
2024-09-09,88,Trail packs,32
2024-09-16,89,Trail packs,33
2024-09-23,90,Trail packs,33
2024-09-30,91,Trail packs,35
2024-10-07,92,Trail packs,30
2024-10-14,93,Trail packs,33
2024-10-21,94,Trail packs,36
2024-10-28,95,Trail packs,35
2024-11-04,96,Trail packs,27
2024-11-11,97,Trail packs,39
2024-11-18,98,Trail packs,40
2024-11-25,99,Trail packs,40
2024-12-02,100,Trail packs,46
2024-12-09,101,Trail packs,43
2024-12-16,102,Trail packs,52
2024-12-23,103,Trail packs,39
2024-12-30,104,Trail packs,46
2025-01-06,105,Trail packs,40
2025-01-13,106,Trail packs,50
2025-01-20,107,Trail packs,55
2025-01-27,108,Trail packs,60
2025-02-03,109,Trail packs,44
2025-02-10,110,Trail packs,52
2025-02-17,111,Trail packs,50
2025-02-24,112,Trail packs,51
2025-03-03,113,Trail packs,64
2025-03-10,114,Trail packs,65
2025-03-17,115,Trail packs,54
2025-03-24,116,Trail packs,64
2025-03-31,117,Trail packs,65
2025-04-07,118,Trail packs,70
2025-04-14,119,Trail packs,54
2025-04-21,120,Trail packs,61
2025-04-28,121,Trail packs,64
2025-05-05,122,Trail packs,61
