record_id,date,month,site,shift,orders_due,on_time_orders,late_orders,units_shipped,rework_orders,planned_hours,regular_hours,overtime_hours,complex_orders,standard_hours,downtime_minutes,capacity_late,rework_late,stock_late,carrier_late,other_late
20250701-N-AM,2025-07-01,2025-07,North,AM,216,198,18,560,1,52.5,48.0,2.1,36,36.0,60,5,1,5,2,5
20250701-N-PM,2025-07-01,2025-07,North,PM,178,173,5,545,5,52.5,49.0,3.2,32,29.9,10,3,1,1,0,0
20250701-S-AM,2025-07-01,2025-07,South,AM,211,182,29,791,4,45.0,39.1,3.6,66,38.25,0,11,4,6,3,5
20250701-S-PM,2025-07-01,2025-07,South,PM,215,203,12,827,10,45.0,43.2,0.8,85,40.75,35,4,5,2,0,1
20250702-N-AM,2025-07-02,2025-07,North,AM,229,214,15,710,4,52.5,50.7,2.3,44,38.75,60,1,3,3,3,5
20250702-N-PM,2025-07-02,2025-07,North,PM,227,219,8,876,6,52.5,50.2,1.2,69,40.95,20,4,2,1,1,0
20250702-S-AM,2025-07-02,2025-07,South,AM,195,191,4,630,3,45.0,41.7,2.2,46,33.85,0,0,1,1,0,2
20250702-S-PM,2025-07-02,2025-07,South,PM,215,208,7,745,3,45.0,43.0,1.7,37,35.95,10,0,2,2,1,2
20250703-N-AM,2025-07-03,2025-07,North,AM,228,225,3,696,1,52.5,49.9,2.9,78,42.0,0,0,1,0,0,2
20250703-N-PM,2025-07-03,2025-07,North,PM,222,214,8,675,7,52.5,50.0,0,43,37.6,0,0,1,7,0,0
20250703-S-AM,2025-07-03,2025-07,South,AM,206,196,10,718,5,45.0,42.7,3.8,53,36.2,60,2,1,3,0,4
20250703-S-PM,2025-07-03,2025-07,South,PM,241,214,27,754,4,45.0,43.5,3.5,77,43.85,60,9,4,7,1,6
20250704-N-AM,2025-07-04,2025-07,North,AM,242,233,9,696,9,52.5,50.5,0,49,41.2,0,1,4,1,1,2
20250704-N-PM,2025-07-04,2025-07,North,PM,228,222,6,595,1,52.5,47.1,0.6,18,36.0,0,0,1,3,0,2
20250704-S-AM,2025-07-04,2025-07,South,AM,227,223,4,681,6,45.0,43.0,2.0,74,41.45,35,1,2,1,0,0
20250704-S-PM,2025-07-04,2025-07,South,PM,250,239,11,775,4,45.0,42.9,1.4,70,44.5,0,8,0,3,0,0
20250707-N-AM,2025-07-07,2025-07,North,AM,255,243,12,864,9,52.5,51.3,2.2,81,46.35,10,3,2,4,0,3
20250707-N-PM,2025-07-07,2025-07,North,PM,259,246,13,973,6,52.5,51.2,0.9,72,46.05,35,4,4,4,1,0
20250707-S-AM,2025-07-07,2025-07,South,AM,244,223,21,770,7,45.0,43.3,1.6,82,44.8,0,11,4,2,1,3
20250707-S-PM,2025-07-07,2025-07,South,PM,271,248,23,940,9,45.0,42.8,1.7,66,47.25,0,9,7,4,1,2
20250708-N-AM,2025-07-08,2025-07,North,AM,221,209,12,696,11,52.5,47.8,0.7,49,38.05,60,4,4,2,0,2
20250708-N-PM,2025-07-08,2025-07,North,PM,246,225,21,836,7,52.5,51.1,2.6,67,43.6,60,4,7,4,0,6
20250708-S-AM,2025-07-08,2025-07,South,AM,197,189,8,682,8,45.0,43.3,0.4,76,37.15,0,0,2,2,0,4
20250708-S-PM,2025-07-08,2025-07,South,PM,214,201,13,662,3,45.0,42.9,1.4,61,38.2,0,3,2,3,2,3
20250709-N-AM,2025-07-09,2025-07,North,AM,210,205,5,625,6,52.5,50.2,1.9,23,33.8,0,0,2,3,0,0
20250709-N-PM,2025-07-09,2025-07,North,PM,261,245,16,585,5,52.5,47.2,0.7,21,41.25,35,7,2,5,1,1
20250709-S-AM,2025-07-09,2025-07,South,AM,181,174,7,697,3,45.0,42.3,0,54,32.55,20,1,0,2,2,2
20250709-S-PM,2025-07-09,2025-07,South,PM,210,198,12,801,12,45.0,42.6,2.1,108,42.3,10,4,5,1,1,1
20250710-N-AM,2025-07-10,2025-07,North,AM,203,198,5,775,3,52.5,48.0,2.7,67,37.15,0,0,3,1,0,1
20250710-N-PM,2025-07-10,2025-07,North,PM,233,205,28,733,8,52.5,47.1,2.0,47,39.65,20,1,3,1,21,2
20250710-S-AM,2025-07-10,2025-07,South,AM,212,187,25,679,4,45.0,43.5,0,65,38.3,35,2,3,2,18,0
20250710-S-PM,2025-07-10,2025-07,South,PM,235,213,22,949,6,45.0,40.0,0.2,85,43.75,60,13,1,7,1,0
20250711-N-AM,2025-07-11,2025-07,North,AM,199,189,10,600,2,52.5,47.4,0,18,31.65,0,2,2,5,0,1
20250711-N-PM,2025-07-11,2025-07,North,PM,226,220,6,780,5,52.5,51.4,0.9,56,39.5,10,1,0,2,2,1
20250711-S-AM,2025-07-11,2025-07,South,AM,180,174,6,556,3,45.0,43.6,1.9,23,29.3,35,2,1,1,0,2
